rank,name,performance
#1,idke,15399
#2,FlyingTuna,15328
#3,Freddie Benson,15030
#4,Mathi,15011
#5,nathan on osu,14690
#6,Rafis,14682
#7,RyuK,14602
#8,OPSwimmyJimmy,14506
#9,firebat92,14494
#10,Sub2PewDiePie,14380
#11,azr8,14322
#12,Vaxei,14304
#13,fieryrage,14161
#14,uyghti,13844
#15,Dustice,13760
#16,Abyssal,13746
#17,Alumetri,13667
#18,DanyL,13297
#19,Varvalian,13268
#20,Micca,13195
#21,Gayzmcgee,13117
#22,Spare,13044
#23,lain,13003
#24,obtio,12937
#25,badeu,12936
#26,Emilia,12891
#27,Umbre,12879
#28,Nameless Player,12872
#29,ASecretBox,12865
#30,a_Blue,12830
#31,Informous,12769
#32,Dumii,12720
#33,BeasttrollMC,12684
#34,MoeYandere,12666
#35,Bubbleman,12657
#36,- Nikliu -,12651
#37,jot_bab,12635
#38,mcy4,12632
#39,Wakson,12620
#40,-Hebel-,12607
#41,okinamo,12583
#42,WubWoofWolf,12578
#43,ThePooN,12556
#44,Toy,12554
#45,Mlaw,12531
#46,wuhua,12519
#47,Piggey,12509
#48,Vamhi,12489
#49,Skydiver,12488
#50,Rohulk,12481
